State,Year,Quarter,Level
andaman-&-nicobar-islands,2018,1,District
andaman-&-nicobar-islands,2018,1,District
andaman-&-nicobar-islands,2018,1,District
andaman-&-nicobar-islands,2018,1,Pincode
andaman-&-nicobar-islands,2018,1,Pincode
andaman-&-nicobar-islands,2018,1,Pincode
andaman-&-nicobar-islands,2018,1,Pincode
andaman-&-nicobar-islands,2018,1,Pincode
andaman-&-nicobar-islands,2018,1,Pincode
andaman-&-nicobar-islands,2018,1,Pincode
andaman-&-nicobar-islands,2018,1,Pincode
andaman-&-nicobar-islands,2018,1,Pincode
andaman-&-nicobar-islands,2018,1,Pincode
andaman-&-nicobar-islands,2018,2,District
andaman-&-nicobar-islands,2018,2,District
andaman-&-nicobar-islands,2018,2,District
andaman-&-nicobar-islands,2018,2,Pincode
andaman-&-nicobar-islands,2018,2,Pincode
andaman-&-nicobar-islands,2018,2,Pincode
andaman-&-nicobar-islands,2018,2,Pincode
andaman-&-nicobar-islands,2018,2,Pincode
andaman-&-nicobar-islands,2018,2,Pincode
andaman-&-nicobar-islands,2018,2,Pincode
andaman-&-nicobar-islands,2018,2,Pincode
andaman-&-nicobar-islands,2018,2,Pincode
andaman-&-nicobar-islands,2018,2,Pincode
andaman-&-nicobar-islands,2018,3,District
andaman-&-nicobar-islands,2018,3,District
andaman-&-nicobar-islands,2018,3,District
andaman-&-nicobar-islands,2018,3,Pincode
andaman-&-nicobar-islands,2018,3,Pincode
andaman-&-nicobar-islands,2018,3,Pincode
andaman-&-nicobar-islands,2018,3,Pincode
andaman-&-nicobar-islands,2018,3,Pincode
andaman-&-nicobar-islands,2018,3,Pincode
andaman-&-nicobar-islands,2018,3,Pincode
andaman-&-nicobar-islands,2018,3,Pincode
andaman-&-nicobar-islands,2018,3,Pincode
andaman-&-nicobar-islands,2018,3,Pincode
andaman-&-nicobar-islands,2018,4,District
andaman-&-nicobar-islands,2018,4,District
andaman-&-nicobar-islands,2018,4,District
andaman-&-nicobar-islands,2018,4,Pincode
andaman-&-nicobar-islands,2018,4,Pincode
andaman-&-nicobar-islands,2018,4,Pincode
andaman-&-nicobar-islands,2018,4,Pincode
andaman-&-nicobar-islands,2018,4,Pincode
andaman-&-nicobar-islands,2018,4,Pincode
andaman-&-nicobar-islands,2018,4,Pincode
